id,listing_url,price
399312,https://www.airbnb.com/rooms/399312,90.0
402826,https://www.airbnb.com/rooms/402826,171.0
408756,https://www.airbnb.com/rooms/408756,116.0
415218,https://www.airbnb.com/rooms/415218,49.0
421236,https://www.airbnb.com/rooms/421236,77.0
425411,https://www.airbnb.com/rooms/425411,90.0
425487,https://www.airbnb.com/rooms/425487,132.0
446975,https://www.airbnb.com/rooms/446975,65.0
456902,https://www.airbnb.com/rooms/456902,89.0
473386,https://www.airbnb.com/rooms/473386,169.0
477515,https://www.airbnb.com/rooms/477515,260.0
485726,https://www.airbnb.com/rooms/485726,140.0
488161,https://www.airbnb.com/rooms/488161,85.0
493539,https://www.airbnb.com/rooms/493539,125.0
496570,https://www.airbnb.com/rooms/496570,160.0
499342,https://www.airbnb.com/rooms/499342,86.0
499353,https://www.airbnb.com/rooms/499353,86.0
502598,https://www.airbnb.com/rooms/502598,86.0
504259,https://www.airbnb.com/rooms/504259,219.0
511935,https://www.airbnb.com/rooms/511935,252.0
512476,https://www.airbnb.com/rooms/512476,59.0
517425,https://www.airbnb.com/rooms/517425,46.0
519671,https://www.airbnb.com/rooms/519671,49.0
523052,https://www.airbnb.com/rooms/523052,92.0
533155,https://www.airbnb.com/rooms/533155,86.0
533523,https://www.airbnb.com/rooms/533523,90.0
533864,https://www.airbnb.com/rooms/533864,135.0
541569,https://www.airbnb.com/rooms/541569,82.0
542674,https://www.airbnb.com/rooms/542674,50.0
559794,https://www.airbnb.com/rooms/559794,114.0
571751,https://www.airbnb.com/rooms/571751,46.0
578821,https://www.airbnb.com/rooms/578821,31.0
580667,https://www.airbnb.com/rooms/580667,94.0
583916,https://www.airbnb.com/rooms/583916,60.0
589285,https://www.airbnb.com/rooms/589285,37.0
590200,https://www.airbnb.com/rooms/590200,65.0
594032,https://www.airbnb.com/rooms/594032,49.0
597413,https://www.airbnb.com/rooms/597413,29.0
598982,https://www.airbnb.com/rooms/598982,108.0
601997,https://www.airbnb.com/rooms/601997,56.0
615018,https://www.airbnb.com/rooms/615018,83.0
620013,https://www.airbnb.com/rooms/620013,50.0
633372,https://www.airbnb.com/rooms/633372,85.0
642955,https://www.airbnb.com/rooms/642955,108.0
652366,https://www.airbnb.com/rooms/652366,44.0
661574,https://www.airbnb.com/rooms/661574,95.0
667849,https://www.airbnb.com/rooms/667849,51.0
668894,https://www.airbnb.com/rooms/668894,70.0
671958,https://www.airbnb.com/rooms/671958,83.0
680999,https://www.airbnb.com/rooms/680999,60.0
681132,https://www.airbnb.com/rooms/681132,69.0
693357,https://www.airbnb.com/rooms/693357,45.0
694871,https://www.airbnb.com/rooms/694871,334.0
696372,https://www.airbnb.com/rooms/696372,41.0
698727,https://www.airbnb.com/rooms/698727,173.0
700806,https://www.airbnb.com/rooms/700806,63.0
701909,https://www.airbnb.com/rooms/701909,247.0
703900,https://www.airbnb.com/rooms/703900,65.0
706237,https://www.airbnb.com/rooms/706237,130.0
714312,https://www.airbnb.com/rooms/714312,40.0
715728,https://www.airbnb.com/rooms/715728,99.0
728176,https://www.airbnb.com/rooms/728176,118.0
728865,https://www.airbnb.com/rooms/728865,84.0
731285,https://www.airbnb.com/rooms/731285,47.0
739363,https://www.airbnb.com/rooms/739363,80.0
